job_category,salary_in_usd,experience_level,work_setting,company_size,Cluster
Data Architecture and Modeling,186000.0,Senior,In-person,M,0
Data Architecture and Modeling,81800.00000000001,Senior,In-person,M,0
Data Science and Research,212000.0,Senior,In-person,M,0
Data Science and Research,93300.0,Senior,In-person,M,0
Data Science and Research,130000.0,Senior,Remote,M,1
Data Science and Research,100000.00000000001,Senior,Remote,M,1
Machine Learning and AI,224400.0,Mid-level,In-person,M,2
Machine Learning and AI,138700.0,Mid-level,In-person,M,2
Machine Learning and AI,224400.0,Senior,In-person,M,0
Machine Learning and AI,138700.0,Senior,In-person,M,0
Data Science and Research,43064.0,Mid-level,In-person,M,2
Data Science and Research,36912.0,Mid-level,In-person,M,2
Data Science and Research,300000.0,Senior,In-person,M,0
Data Science and Research,234000.0,Senior,In-person,M,0
Leadership and Management,140000.0,Mid-level,In-person,M,2
Leadership and Management,120000.0,Mid-level,In-person,M,2
Machine Learning and AI,204500.0,Mid-level,In-person,M,2
Machine Learning and AI,142200.0,Mid-level,In-person,M,2
Data Analysis,155000.0,Mid-level,In-person,M,2
Data Analysis,110000.0,Mid-level,In-person,M,2
Machine Learning and AI,266500.0,Senior,In-person,M,0
Machine Learning and AI,152000.0,Senior,In-person,M,0
Data Science and Research,222200.0,Mid-level,In-person,L,2
Data Science and Research,136000.0,Mid-level,In-person,L,2
Machine Learning and AI,273400.0,Senior,In-person,M,0
Machine Learning and AI,182200.0,Senior,In-person,M,0
BI and Visualization,167500.0,Senior,In-person,M,0
BI and Visualization,106500.0,Senior,In-person,M,0
Data Engineering,185900.0,Senior,In-person,M,0
Data Engineering,129300.0,Senior,In-person,M,0
BI and Visualization,185000.0,Mid-level,In-person,L,2
BI and Visualization,79600.0,Mid-level,In-person,L,2
Data Engineering,122000.0,Senior,In-person,M,0
Data Engineering,94500.0,Senior,In-person,M,0
Data Engineering,247300.0,Senior,In-person,M,0
Data Engineering,139700.0,Senior,In-person,M,0
Data Analysis,176000.0,Senior,In-person,M,0
Data Analysis,100000.00000000001,Senior,In-person,M,0
Machine Learning and AI,204500.0,Senior,In-person,M,0
Machine Learning and AI,142200.0,Senior,In-person,M,0
Data Science and Research,247600.0,Senior,In-person,L,0
Data Science and Research,127300.0,Senior,In-person,L,0
Data Science and Research,223400.0,Senior,Remote,M,1
Data Science and Research,186200.0,Senior,Remote,M,1
Data Engineering,167500.0,Senior,In-person,M,0
Data Engineering,106500.0,Senior,In-person,M,0
Data Science and Research,185900.0,Senior,In-person,M,0
Data Science and Research,129300.0,Senior,In-person,M,0
Data Science and Research,72000.0,Entry-level,Remote,M,3
Data Science and Research,64000.00000000001,Entry-level,Remote,M,3
Leadership and Management,179820.00000000003,Senior,In-person,M,0
Leadership and Management,143860.0,Senior,In-person,M,0
Data Science and Research,283050.0,Senior,In-person,M,0
Data Science and Research,188700.0,Senior,In-person,M,0
Data Engineering,133000.0,Mid-level,In-person,M,2
Data Engineering,58400.00000000001,Mid-level,In-person,M,2
Data Science and Research,141298.0,Senior,In-person,M,0
Data Science and Research,115607.0,Senior,In-person,M,0
Machine Learning and AI,144400.0,Senior,In-person,M,0
Data Engineering,71363.0,Senior,In-person,M,0
Data Engineering,55368.00000000001,Senior,In-person,M,0
Data Science and Research,287500.0,Senior,In-person,M,0
Data Science and Research,156000.0,Senior,In-person,M,0
Data Analysis,90000.0,Mid-level,Remote,M,4
Data Analysis,70000.0,Mid-level,Remote,M,4
Data Engineering,199000.0,Senior,In-person,M,0
Data Engineering,162000.0,Senior,In-person,M,0
Data Engineering,170884.0,Mid-level,Remote,M,4
Data Engineering,113922.99999999999,Mid-level,Remote,M,4
Data Engineering,183999.99999999997,Mid-level,In-person,M,2
Data Engineering,123000.0,Mid-level,In-person,M,2
Data Science and Research,235750.0,Senior,In-person,M,0
Data Science and Research,174250.0,Senior,In-person,M,0
Data Science and Research,165000.0,Mid-level,Remote,M,4
Data Science and Research,118800.0,Mid-level,Remote,M,4
Data Engineering,225000.0,Senior,Remote,M,1
Data Engineering,150000.0,Senior,Remote,M,1
Machine Learning and AI,213900.0,Mid-level,In-person,M,2
Machine Learning and AI,116800.0,Mid-level,In-person,M,2
Data Science and Research,220000.0,Senior,Remote,M,1
Data Science and Research,150000.0,Senior,Remote,M,1
Data Science and Research,150000.0,Mid-level,In-person,M,2
Data Science and Research,100000.00000000001,Mid-level,In-person,M,2
Machine Learning and AI,247500.0,Mid-level,In-person,M,2
Machine Learning and AI,172200.0,Mid-level,In-person,M,2
Data Engineering,155000.0,Mid-level,In-person,M,2
Data Engineering,120000.0,Mid-level,In-person,M,2
Data Engineering,226700.0,Senior,In-person,M,0
Data Engineering,133300.0,Senior,In-person,M,0
Data Engineering,183999.99999999997,Senior,In-person,M,0
Data Engineering,123000.0,Senior,In-person,M,0
Data Science and Research,130000.0,Senior,In-person,M,0
Data Science and Research,117000.0,Senior,In-person,M,0
Data Science and Research,160000.0,Senior,Remote,M,1
Data Science and Research,140000.0,Senior,Remote,M,1
Data Science and Research,166000.0,Mid-level,In-person,M,2
Data Science and Research,73000.0,Mid-level,In-person,M,2
Data Science and Research,185900.0,Senior,Remote,M,1
Data Science and Research,129300.0,Senior,Remote,M,1
Data Engineering,130000.0,Mid-level,In-person,M,2
Data Engineering,104000.0,Mid-level,In-person,M,2
Data Engineering,143000.0,Senior,Remote,M,1
Data Engineering,116000.0,Senior,Remote,M,1
Data Science and Research,220000.0,Mid-level,In-person,M,2
Data Science and Research,180000.0,Mid-level,In-person,M,2
Data Engineering,214999.99999999997,Senior,In-person,M,0
Data Engineering,200000.00000000003,Senior,In-person,M,0
Data Science and Research,253000.0,Mid-level,In-person,M,2
Data Science and Research,130999.99999999999,Mid-level,In-person,M,2
Machine Learning and AI,220000.0,Senior,In-person,M,0
Machine Learning and AI,176000.0,Senior,In-person,M,0
Data Quality and Operations,49216.0,Entry-level,Remote,M,3
Data Quality and Operations,36912.0,Entry-level,Remote,M,3
Data Science and Research,209999.99999999997,Senior,In-person,M,0
Data Science and Research,147000.0,Senior,In-person,M,0
Leadership and Management,186000.0,Mid-level,In-person,M,2
Leadership and Management,161000.0,Mid-level,In-person,M,2
Machine Learning and AI,205000.00000000003,Senior,In-person,M,0
Data Engineering,220000.0,Mid-level,Remote,M,4
Data Engineering,190000.0,Mid-level,Remote,M,4
Data Analysis,137000.0,Senior,Remote,M,1
Data Analysis,110000.0,Senior,Remote,M,1
Data Science and Research,172000.0,Senior,Remote,M,1
Data Science and Research,146000.0,Senior,Remote,M,1
Data Engineering,148000.0,Mid-level,In-person,M,2
Data Engineering,99000.0,Mid-level,In-person,M,2
Data Science and Research,150000.0,Senior,In-person,M,0
Data Engineering,99000.0,Senior,In-person,M,0
Data Engineering,52499.99999999999,Senior,In-person,M,0
Machine Learning and AI,180514.0,Senior,Remote,M,1
Machine Learning and AI,108307.99999999999,Senior,Remote,M,1
